Month,Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,1,06:26,08:03,12:09,13:46,16:05,17:42
1,2,06:26,08:03,12:10,13:47,16:06,17:43
1,3,06:26,08:03,12:10,13:48,16:08,17:45
1,4,06:26,08:03,12:11,13:49,16:09,17:46
1,5,06:25,08:02,12:11,13:50,16:10,17:47
1,6,06:25,08:02,12:12,13:51,16:11,17:48
1,7,06:25,08:02,12:12,13:52,16:12,17:49
1,8,06:24,08:01,12:12,13:54,16:14,17:51
1,9,06:24,08:01,12:13,13:55,16:15,17:52
1,10,06:23,08:00,12:13,13:56,16:17,17:54
1,11,06:23,08:00,12:14,13:57,16:18,17:55
1,12,06:22,07:59,12:14,13:58,16:19,17:56
1,13,06:21,07:58,12:14,14:00,16:21,17:58
1,14,06:20,07:57,12:15,14:01,16:22,17:59
1,15,06:20,07:57,12:15,14:02,16:24,18:01
1,16,06:19,07:56,12:15,14:03,16:26,18:03
1,17,06:18,07:55,12:16,14:05,16:27,18:04
1,18,06:17,07:54,12:16,14:06,16:29,18:06
1,19,06:16,07:53,12:16,14:07,16:30,18:07
1,20,06:15,07:52,12:17,14:09,16:32,18:09
1,21,06:14,07:51,12:17,14:10,16:34,18:11
1,22,06:13,07:50,12:17,14:11,16:35,18:12
1,23,06:11,07:48,12:17,14:13,16:37,18:14
1,24,06:10,07:47,12:18,14:14,16:39,18:16
1,25,06:09,07:46,12:18,14:16,16:41,18:18
1,26,06:08,07:45,12:18,14:17,16:42,18:19
1,27,06:06,07:43,12:18,14:19,16:44,18:21
1,28,06:05,07:42,12:19,14:20,16:46,18:23
1,29,06:03,07:40,12:19,14:22,16:48,18:25
1,30,06:02,07:39,12:19,14:23,16:49,18:26
1,31,06:00,07:37,12:19,14:24,16:51,18:28
